BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
10028;19HY;19HY00;Burg Walda SGM;NES AMELAND;0060;AMELAND;Friesland;165;0;165
10053;18BR;18BR00;Praktijkonderwijs Assen e/o;ASSEN;0106;ASSEN;Drenthe;257;0;257
10867;19ET;19ET00;GSG t Schylger Jouw voor vmbo;MIDSLAND;0093;TERSCHELLING;Friesland;126;0;126
10907;19IP;19IP00;Rembrandt College;VEENENDAAL;0345;VEENENDAAL;Utrecht;1129;3;1132
12975;01XN;01XN00;Almere College;KAMPEN;0166;KAMPEN;Overijssel;516;4;520
12975;01XN;01XN01;Almere College;DRONTEN;0303;DRONTEN;Flevoland;1085;6;1091
12975;01XN;01XN02;Almere College;KAMPEN;0166;KAMPEN;Overijssel;195;0;195
12975;01XN;01XN07;Almere College;DRONTEN;0303;DRONTEN;Flevoland;41;0;41
12975;01XN;01XN08;Almere College;DRONTEN;0303;DRONTEN;Flevoland;84;0;84
12975;01XN;01XN09;Almere College;DRONTEN;0303;DRONTEN;Flevoland;304;0;304
12975;01XN;01XN10;Almere College;KAMPEN;0166;KAMPEN;Overijssel;116;0;116
13273;20LO;20LO00;Opb SGM Dr Nassau Coll;ASSEN;0106;ASSEN;Drenthe;1802;29;1831
13273;20LO;20LO01;Opb SGM Dr Nassau Coll;NORG;1699;NOORDENVELD;Drenthe;181;0;181
13273;20LO;20LO02;Opb SGM Dr Nassau Coll;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;287;0;287
13273;20LO;20LO03;Opb SGM Dr Nassau Coll;GIETEN;1680;AA EN HUNZE;Drenthe;359;1;360
13273;20LO;20LO04;Opb SGM Dr Nassau College;ASSEN;0106;ASSEN;Drenthe;992;0;992
13273;20LO;20LO08;Opb SGM Dr Nassau Coll;ASSEN;0106;ASSEN;Drenthe;174;6;180
13278;13EE;13EE00;Regionale Sgm Enkhuizen;ENKHUIZEN;0388;ENKHUIZEN;Noord-Holland;1489;12;1501
13360;17AN;17AN00;Minkema College;WOERDEN;0632;WOERDEN;Utrecht;1806;17;1823
13360;17AN;17AN01;Minkema College;WOERDEN;0632;WOERDEN;Utrecht;734;0;734
13365;19FF;19FF00;SGM De Waerdenborch;HOLTEN;1742;RIJSSEN-HOLTEN;Overijssel;1758;13;1771
13365;19FF;19FF04;SGM De Waerdenborch;GOOR;1735;HOF VAN TWENTE;Overijssel;434;0;434
13554;03RR;03RR00;Candea College;DUIVEN;0226;DUIVEN;Gelderland;1085;5;1090
13554;03RR;03RR04;Candea College VMBO en Mavo;DUIVEN;0226;DUIVEN;Gelderland;942;2;944
13554;05FF;05FF00;Olympuscollege;ARNHEM;0202;ARNHEM;Gelderland;1016;15;1031
13554;05FF;05FF01;Olympuscollege;ARNHEM;0202;ARNHEM;Gelderland;198;0;198
13554;08PS;08PS00;Symbion;DIDAM;1955;MONTFERLAND;Gelderland;214;0;214
13554;12NW;12NW00;Produs;ARNHEM;0202;ARNHEM;Gelderland;212;0;212
13554;16SK;16SK00;Liemers College;ZEVENAAR;0299;ZEVENAAR;Gelderland;1060;14;1074
13554;16SK;16SK01;Liemers College;DIDAM;1955;MONTFERLAND;Gelderland;490;1;491
13554;16SK;16SK05;Liemers College;ZEVENAAR;0299;ZEVENAAR;Gelderland;595;0;595
13554;16SK;16SK07;Liemers College;ZEVENAAR;0299;ZEVENAAR;Gelderland;462;3;465
13554;20RM;20RM00;Stedelijk Gymnasium Arnhem;ARNHEM;0202;ARNHEM;Gelderland;1006;9;1015
13554;20TZ;20TZ00;Lorentz Groep;ARNHEM;0202;ARNHEM;Gelderland;866;11;877
