BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
10028;Gemeente Ameland;Jelmeraweg;1;9162 EA;BALLUM;0060;AMELAND;Openbaar;0519555555;www.ameland.nl;Postbus;22;9160 AA;HOLLUM; ;01180264
10053;Gemeente Assen;Noordersingel;33;9401 JW;ASSEN;0106;ASSEN;Openbaar;0592366911; ;Postbus;91;7940 AB;MEPPEL;780;50788590
10867;Gemeente Terschelling;Burg van Heusdenweg;10-A;8881 EB;WEST-TERSCHELLING;0093;TERSCHELLING;Openbaar;0562446244;www.terschelling.nl;Burg van Heusdenweg;10-A;8881 EB;WEST-TERSCHELLING;951; 
12975;Stichting Openbaar Voortgezet Onderwijs Kampen Dronten;Noordweg;87;8262 BP;KAMPEN;0166;KAMPEN;Openbaar;0383370600;www.almerecollege.nl;Postbus;1;8260 AA;KAMPEN;799;64783294
13273;Stg. Openb. Voortgez. Onderw. Noord- en Midden-Drenthe;Mr Groen v Prinstererln;98;9402 KG;ASSEN;0106;ASSEN;Openbaar;0592333130;www.dr.nassaucollege.nl;Postbus;186;9400 AD;ASSEN;696;04068442
13278;Stichting Regionale Scholengemeenschap Enkhuizen;Boendersveld;3;1602 DK;ENKHUIZEN;0388;ENKHUIZEN;Openbaar;0228350800; ;Boendersveld;3;1602 DK;ENKHUIZEN;696;37082660
13360;Stg. Minkema Voortgez. Onderw. in Woerd. e.o.;Minkemalaan;1;3446 GL;WOERDEN;0632;WOERDEN;Openbaar;0348484100;www.minkema.nl;Postbus;2120;3440 DC;WOERDEN; ;30171389
13365;Stichting Waerdenborch;Haarstraat;14;7451 CZ;HOLTEN;1742;RIJSSEN-HOLTEN;Openbaar;0548378383;www.waerdenborch.nl;Postbus;49;7450 AA;HOLTEN;696;08093774
13554;Stichting Quadraam;Saturnus;7;6922 LX;DUIVEN;0226;DUIVEN;Samenwerking Opb., PC, RK;0263208800;www.quadraam.nl;Postbus;7;6920 AA;DUIVEN; ;41053607
13555;Stichting voor Openbaar Voortgezet Onderwijs op Walcheren;Weyevlietplein;7;4385 CH;VLISSINGEN;0718;VLISSINGEN;Openbaar;0118479400;www.nehalennia.nl;Postbus;69;4380 AB;VLISSINGEN; ;41115393
13556;Onderwijsstichting Zelfstandige Gymnasia;Schipholpoort;2;2034 MA;HAARLEM;0392;HAARLEM;Samenwerking Opb., PC, RK, Alg;0235517147; ;Postbus;5233;2000 CE;HAARLEM; ;34102519
13563;Stichting Winkler Prins;Raadsgildenlaan;1;9646 AA;VEENDAM;0047;VEENDAM;Openbaar;0598364656;www.winklerprins.nl;Postbus;190;9640 AD;VEENDAM; ;50852736
13586;Stg. OSG Singelland, Openb. VO Smallingerland en omgeving;Van Haersmasingel;37;9201 KN;DRACHTEN;0090;SMALLINGERLAND;Openbaar;0512582345; ;Postbus;112;9200 AC;DRACHTEN; ;01080096
13603;Stichting voor Openbaar Voortgezet Onderwijs Fryslân-Noord;Elzenstraat;5;8924 JN;LEEUWARDEN;0080;LEEUWARDEN;Openbaar;0588801104;www.piterjelles.nl;Postbus;9002;8903 LA;LEEUWARDEN; ;01082181
13652;Stichting Openbaar Voortgezet Onderwijs Noord-Holland-Noord;Arubastraat;4;1825 PV;ALKMAAR;0361;ALKMAAR;Openbaar;0725671067;www.sovon.nu;Postbus;9081;1800 GB;ALKMAAR; ;37085389
13683;Schoolbestuur voor primair en voortgezet onderwijs tussen Lauwers en Eems-stg;Noorderstraat;13;9989 AA;WARFFUM;1966;HET HOGELAND;Openbaar;0595424955;www.lauwerseneems.nl;Postbus;10;9989 ZG;WARFFUM; ;02068659
13693;Stichting voor Openbaar Voortgezet Onderwijs van Wageningen en omstreken;Hollandseweg;9;6706 KN;WAGENINGEN;0289;WAGENINGEN;Openbaar;0317465893;www.pantarijn.nl;Postbus;257;6700 AG;WAGENINGEN;696;09113954
13709;Stichting O.R.S. Lek en Linge;Multatulilaan;6;4103 NM;CULEMBORG;0216;CULEMBORG;Openbaar;0345512833;www.lekenlinge.nl;Postbus;461;4100 AL;CULEMBORG; ;11049184
13737;Stichting Openbaar Voortgezet Onderwijs Hoogeveen;Valkenlaan;1;7905 AA;HOOGEVEEN;0118;HOOGEVEEN;Openbaar;0528268636;www.wolfsbos.nl;Postbus;199;7900 AD;HOOGEVEEN; ;04065081
13739;Stichting RSG Slingerbos - Levant;Eisenhowerlaan;59;3844 AS;HARDERWIJK;0243;HARDERWIJK;Openbaar; ;www.rsgslingerboslevant.nl;Eisenhowerlaan;59;3844 AS;HARDERWIJK;696;08081581
13749;Stichting Gemeentelijk Gymnasium Hilversum;Vaartweg;54;1217 SV;HILVERSUM;0402;HILVERSUM;Openbaar; ; ;Vaartweg;54;1217 SV;HILVERSUM;706;32088552
