BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
10028;19HY;19HY00;Burg Walda SGM;NES AMELAND;60;AMELAND;Friesland;145;0;145
10053;18BR;18BR00;Praktijkonderwijs Assen e/o;ASSEN;106;ASSEN;Drenthe;234;0;234
10867;19ET;19ET00;GSG t Schylger Jouw voor vmbo;MIDSLAND;93;TERSCHELLING;Friesland;114;0;114
12975;01XN;01XN00;Almere College;KAMPEN;166;KAMPEN;Overijssel;552;5;557
12975;01XN;01XN01;Almere College;DRONTEN;303;DRONTEN;Flevoland;851;8;859
12975;01XN;01XN02;Almere College;KAMPEN;166;KAMPEN;Overijssel;179;0;179
12975;01XN;01XN07;Almere College;DRONTEN;303;DRONTEN;Flevoland;78;0;78
12975;01XN;01XN08;Almere College;DRONTEN;303;DRONTEN;Flevoland;119;0;119
12975;01XN;01XN09;Almere College;DRONTEN;303;DRONTEN;Flevoland;330;0;330
12975;01XN;01XN10;Almere College;KAMPEN;166;KAMPEN;Overijssel;152;0;152
13273;20LO;20LO00;Opb SGM Dr Nassau Coll;ASSEN;106;ASSEN;Drenthe;1603;30;1633
13273;20LO;20LO01;Opb SGM Dr Nassau Coll;NORG;1699;NOORDENVELD;Drenthe;179;0;179
13273;20LO;20LO02;Opb SGM Dr Nassau Coll;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;289;0;289
13273;20LO;20LO03;Opb SGM Dr Nassau Coll;GIETEN;1680;AA EN HUNZE;Drenthe;205;0;205
13273;20LO;20LO04;Opb SGM Dr Nassau College;ASSEN;106;ASSEN;Drenthe;1002;4;1006
13273;20LO;20LO08;Opb SGM Dr Nassau Coll;ASSEN;106;ASSEN;Drenthe;321;0;321
13278;13EE;13EE00;Regionale Sgm Enkhuizen;ENKHUIZEN;388;ENKHUIZEN;Noord-Holland;1521;13;1534
13360;17AN;17AN00;Minkema College;WOERDEN;632;WOERDEN;Utrecht;1861;8;1869
13360;17AN;17AN01;Minkema College;WOERDEN;632;WOERDEN;Utrecht;688;0;688
13365;19FF;19FF00;SGM De Waerdenborch;HOLTEN;1742;RIJSSEN-HOLTEN;Overijssel;1411;6;1417
13365;19FF;19FF04;SGM De Waerdenborch;GOOR;1735;HOF VAN TWENTE;Overijssel;346;0;346
13554;03RR;03RR00;Candea College;DUIVEN;226;DUIVEN;Gelderland;990;3;993
13554;03RR;03RR04;Candea College VMBO en Mavo;DUIVEN;226;DUIVEN;Gelderland;876;0;876
13554;05FF;05FF00;Olympuscollege;ARNHEM;202;ARNHEM;Gelderland;1239;20;1259
13554;05FF;05FF01;Olympuscollege;ARNHEM;202;ARNHEM;Gelderland;146;0;146
13554;08PS;08PS00;Symbion;DIDAM;1955;MONTFERLAND;Gelderland;169;0;169
13554;12NW;12NW00;Produs;ARNHEM;202;ARNHEM;Gelderland;183;0;183
13554;16SK;16SK00;Liemers College;ZEVENAAR;299;ZEVENAAR;Gelderland;1008;3;1011
13554;16SK;16SK01;Liemers College;DIDAM;1955;MONTFERLAND;Gelderland;402;0;402
13554;16SK;16SK05;Liemers College;ZEVENAAR;299;ZEVENAAR;Gelderland;390;0;390
13554;16SK;16SK07;Liemers College;ZEVENAAR;299;ZEVENAAR;Gelderland;333;0;333
13554;20RM;20RM00;Stedelijk Gymnasium Arnhem;ARNHEM;202;ARNHEM;Gelderland;747;7;754
13554;20TZ;20TZ00;Lorentz Groep;ARNHEM;202;ARNHEM;Gelderland;1008;6;1014
13554;20TZ;20TZ04;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;563;0;563
13554;20TZ;20TZ07;Maarten van Rossem;ARNHEM;202;ARNHEM;Gelderland;318;0;318
13554;20TZ;20TZ11;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;889;6;895
13554;20TZ;20TZ12;Lorentz Groep;ARNHEM;202;ARNHEM;Gelderland;161;0;161
13554;20TZ;20TZ13;ISK Groningensingel;ARNHEM;202;ARNHEM;Gelderland;98;0;98
13554;20TZ;20TZ14;Lyceum Elst Nijverheidsweg;ELST GLD;1734;OVERBETUWE;Gelderland;155;0;155
13554;25GL;25GL00;SGM Arnhem Noord;ARNHEM;202;ARNHEM;Gelderland;1191;18;1209
13554;25GL;25GL04;SGM Arnhem Noord;ARNHEM;202;ARNHEM;Gelderland;582;233;815
13554;25GL;25GL06;SGM Arnhem Noord;ARNHEM;202;ARNHEM;Gelderland;722;8;730
13555;16YC;16YC00;Scheldemond College;VLISSINGEN;718;VLISSINGEN;Zeeland;1035;0;1035
13555;20CP;20CP00;NEHALENNIA SSG;MIDDELBURG;687;MIDDELBURG;Zeeland;609;5;614
13555;20CP;20CP04;NEHALENNIA SSG;MIDDELBURG;687;MIDDELBURG;Zeeland;1073;15;1088
13556;02DW;02DW00;Gymnasium Bernrode;HEESWIJK-DINTHER;1721;BERNHEZE;Noord-Brabant;555;0;555
13556;20AJ;20AJ00;Stedelijk Gymnasium;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;751;6;757
13556;20DG;20DG00;Gymnasium Felisenum;VELSEN-ZUID;453;VELSEN;Noord-Holland;569;2;571
13556;20QY;20QY00;Stedelijk Gymnasium;HAARLEM;392;HAARLEM;Noord-Holland;822;1;823
13556;21AB;21AB00;Barlaeus Gymnasium;AMSTERDAM;363;AMSTERDAM;Noord-Holland;801;0;801
13556;21AF;21AF00;Vossius Gymnasium;AMSTERDAM;363;AMSTERDAM;Noord-Holland;843;0;843
