Entity,Code,Year,Per capita domestic RPKs
Afghanistan,AFG,2018,9.385612084364576
Algeria,DZA,2018,31.199312139480888
Angola,AGO,2018,13.227104012106459
Argentina,ARG,2018,361.4762418537905
Australia,AUS,2018,3064.27113310306
Austria,AUT,2018,22.53230655910471
Azerbaijan,AZE,2018,1.3586633085427136
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,5.043036174078645
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,147.4729878709577
Brazil,BRA,2018,455.92884326215835
Brunei,BRN,2018,0
Bulgaria,BGR,2018,14.971027272830405
Cambodia,KHM,2018,12.233409361353841
Canada,CAN,2018,1701.9887579730437
Chile,CHL,2018,821.299309857227
China,CHN,2018,537.8955657353914
Colombia,COL,2018,236.8610250840699
Costa Rica,CRI,2018,1.5841998276455296
Croatia,HRV,2018,44.06288014826759
Cuba,CUB,2018,26.46113392820603
Czechia,CZE,2018,1.2148794012750799
Democratic Republic of Congo,COD,2018,7.341740922336684
Denmark,DNK,2018,238.71148904728796
Ecuador,ECU,2018,99.58196858218221
Egypt,EGY,2018,9.4814382550191
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,7.591244095391121
Fiji,FJI,2018,585.8333941138162
Finland,FIN,2018,362.8326528875791
France,FRA,2018,687.9924759120495
Georgia,GEO,2018,0.49658710267299533
Germany,DEU,2018,148.54409304236933
Greece,GRC,2018,264.1904078396117
Hungary,HUN,2018,0.0897009107540173
Iceland,ISL,2018,267.49712531157263
India,IND,2018,92.34411205388491
Indonesia,IDN,2018,322.83514376858403
Iran,IRN,2018,142.1288475580932
Iraq,IRQ,2018,7.984040104324295
Ireland,IRL,2018,6.605329377879229
Israel,ISR,2018,36.97448652684323
Italy,ITA,2018,364.9096008873848
Japan,JPN,2018,750.7263712307607
Jordan,JOR,2018,2.3240945599598595
Kazakhstan,KAZ,2018,250.30306530141934
Kenya,KEN,2018,30.99524991494952
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,20.273597794416244
Latvia,LVA,2018,1.6771403672199172
Lebanon,LBN,2018,0
Libya,LBY,2018,12.746276732744429
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,7.679739360787443
Malaysia,MYS,2018,636.5638922679524
Malta,MLT,2018,0
Mauritius,MUS,2018,84.86049502762431
Mexico,MEX,2018,378.3974751494039
Moldova,MDA,2018,0
Mongolia,MNG,2018,28.92256189022081
Morocco,MAR,2018,11.039601053567965
Myanmar,MMR,2018,29.1398604796306
Namibia,NAM,2018,41.580402176470585
Nepal,NPL,2018,15.78401721953304
Netherlands,NLD,2018,372.5449038100821
New Zealand,NZL,2018,1615.4812804132405
Nigeria,NGA,2018,9.591311081626097
Norway,NOR,2018,1675.7231516766362
Oman,OMN,2018,162.62560985504248
Pakistan,PAK,2018,17.084668869692027
Panama,PAN,2018,30.24176227627484
Papua New Guinea,PNG,2018,116.44383502114796
Peru,PER,2018,272.3227953059486
Philippines,PHL,2018,150.21948216425557
Poland,POL,2018,15.73200394169347
Portugal,PRT,2018,425.6008025213534
Qatar,QAT,2018,0
Romania,ROU,2018,28.250968138675265
Russia,RUS,2018,691.8584942647178
Rwanda,RWA,2018,0.4702402142741018
Saudi Arabia,SAU,2018,570.9010434725308
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,219.45253134640893
South Korea,KOR,2018,213.3028865273
Spain,ESP,2018,618.7626129416751
Sri Lanka,LKA,2018,0.4874840023552687
Suriname,SUR,2018,0
Sweden,SWE,2018,444.0771569018757
Switzerland,CHE,2018,22.265880224724373
Tajikistan,TJK,2018,0.21258145170860346
Thailand,THA,2018,330.9843762075381
Trinidad and Tobago,TTO,2018,46.57647991654676
Tunisia,TUN,2018,8.550866853004756
Turkey,TUR,2018,409.12161800896905
Turkmenistan,TKM,2018,81.10389448299436
Ukraine,UKR,2018,9.824503581702297
United Arab Emirates,ARE,2018,0.195940070231544
United Kingdom,GBR,2018,178.92100334205116
United States,USA,2018,4058.543162349892
Uzbekistan,UZB,2018,12.719293420371965
Venezuela,VEN,2018,21.56102970145739
Vietnam,VNM,2018,271.4123182032949
World,OWID_WRL,2018,420.0814143388688
